PKEY,TOKEN,0_,1_,2_,3_,4_,5_,6_,7_,8_
8,practic,0.38,0.43,0.23,0.16,0.22,0.36,0.49,0.29,0.34
30,potenti,0.43,0.41,0.42,0.84,0.39,0.45,0.58,0.15,0.39
41,power,0.37,0.34,0.26,0.64,0.44,0.14,0.14,0.82,0.13
51,prefer,0.58,0.66,0.55,0.79,0.22,0.60,0.60,0.38,0.58
64,prelud,0.02,0.05,0.08,0.02,0.14,0.05,0.05,0.06,0.04
83,predefin,0.10,0.07,0.09,0.03,0.08,0.02,0.16,0.12,0.14
87,predetermin,0.27,0.27,0.22,0.12,0.17,0.21,0.42,0.62,0.37
91,predict,0.15,0.10,0.01,0.64,0.06,0.12,0.33,0.15,0.05
128,point,0.63,0.71,0.82,0.78,0.39,0.52,0.56,0.82,0.61
140,polici,0.13,0.10,0.04,0.67,0.06,0.02,0.19,0.26,0.14
149,possess,0.14,0.35,0.21,0.05,0.25,0.02,0.05,0.18,0.10
151,possibl,0.58,0.61,0.40,0.72,0.53,0.50,0.60,0.12,0.48
152,post,0.19,0.08,0.13,0.03,0.36,0.26,0.07,0.12,0.21
167,posit,0.37,0.36,0.34,0.12,0.22,0.19,0.42,0.88,0.31
175,popul,0.14,0.08,0.10,0.71,0.03,0.10,0.14,0.09,0.08
181,port,0.18,0.16,0.12,0.05,0.19,0.07,0.07,0.24,0.09
182,portabl,0.28,0.28,0.35,0.03,0.39,0.19,0.09,0.76,0.14
183,portal,0.08,0.11,0.16,0.05,0.08,0.24,0.02,0.03,0.10
186,portion,0.50,0.40,0.48,0.71,0.56,0.26,0.74,0.59,0.59
193,profit,0.15,0.08,0.08,0.67,0.03,0.19,0.21,0.12,0.20
194,produc,0.31,0.39,0.14,0.71,0.25,0.21,0.40,0.09,0.22
195,product,0.61,0.51,0.68,0.69,0.58,0.67,0.79,0.79,0.60
202,profil,0.24,0.31,0.23,0.84,0.28,0.19,0.35,0.18,0.17
208,program,0.75,0.73,0.74,0.97,0.64,0.71,0.84,0.88,0.73
211,programm,0.18,0.19,0.25,0.03,0.25,0.05,0.09,0.03,0.12
225,problem,0.47,0.51,0.32,0.76,0.31,0.36,0.37,0.12,0.24
229,procedur,0.23,0.34,0.21,0.09,0.14,0.36,0.33,0.50,0.22
231,proceed,0.10,0.16,0.16,0.07,0.06,0.14,0.14,0.26,0.08
232,process,0.96,0.98,0.94,0.98,0.89,1.00,0.88,0.97,0.89
235,processor,0.66,0.80,0.84,0.88,0.75,0.76,0.65,0.50,0.69
240,prepaid,0.07,0.14,0.34,0.09,0.11,0.12,0.05,0.21,0.21
242,propag,0.06,0.05,0.16,0.02,0.03,0.02,0.02,0.47,0.06
246,proper,0.18,0.24,0.09,0.03,0.06,0.26,0.07,0.12,0.14
255,proprietari,0.16,0.19,0.13,0.62,0.08,0.17,0.16,0.06,0.14
261,prospect,0.09,0.01,0.01,0.71,0.06,0.07,0.40,0.03,0.09
268,prohibit,0.05,0.11,0.05,0.02,0.06,0.12,0.07,0.03,0.09
281,promot,0.24,0.07,0.13,0.24,0.08,0.05,0.12,0.09,0.14
282,prompt,0.17,0.40,0.26,0.03,0.14,0.36,0.26,0.12,0.20
296,pressur,0.06,0.05,0.03,0.03,0.03,0.02,0.02,0.24,0.02
311,present,0.95,0.98,0.95,0.98,0.86,0.95,0.95,0.88,0.94
314,prepar,0.15,0.07,0.05,0.03,0.08,0.10,0.14,0.03,0.17
345,prior,0.54,0.70,0.53,0.36,0.39,0.57,0.53,0.74,0.59
348,prevent,0.32,0.59,0.31,0.17,0.47,0.07,0.16,0.09,0.20
355,privat,0.34,0.59,0.32,0.17,0.89,0.55,0.30,0.15,0.31
358,print,0.29,0.33,0.22,0.03,0.22,0.07,0.19,0.21,0.22
359,principl,0.12,0.17,0.09,0.02,0.14,0.07,0.23,0.03,0.17
364,previou,0.26,0.19,0.23,0.76,0.31,0.19,0.12,0.03,0.15
374,primari,0.23,0.36,0.25,0.17,0.08,0.17,0.19,0.56,0.21
375,primarili,0.09,0.10,0.14,0.66,0.17,0.21,0.12,0.38,0.08
393,peopl,0.29,0.16,0.14,0.03,0.08,0.36,0.47,0.09,0.14
397,per,0.27,0.20,0.14,0.03,0.11,0.12,0.26,0.18,0.24
422,peer,0.04,0.05,0.03,0.05,0.11,0.12,0.07,0.03,0.02
430,perform,0.82,0.87,0.82,1.00,0.81,0.83,0.86,0.97,0.83
434,person,0.80,0.89,0.90,0.91,0.78,0.90,0.84,0.94,0.70
442,pertain,0.14,0.12,0.10,0.09,0.03,0.07,0.16,0.12,0.13
461,period,0.48,0.40,0.29,0.79,0.42,0.31,0.84,0.94,0.59
470,permiss,0.12,0.12,0.03,0.03,0.08,0.05,0.12,0.09,0.04
471,permit,0.34,0.37,0.42,0.07,0.22,0.50,0.12,0.59,0.31
485,pattern,0.19,0.23,0.12,0.84,0.11,0.02,0.26,0.32,0.12
493,pay,0.46,0.43,0.64,0.26,0.36,0.71,0.49,0.18,0.61
514,password,0.24,0.54,0.32,0.03,0.22,0.38,0.07,0.15,0.17
518,past,0.24,0.12,0.13,0.19,0.19,0.24,0.26,0.06,0.19
522,patent,0.26,0.29,0.31,0.14,0.19,0.33,0.23,0.56,0.26
548,pda,0.29,0.27,0.53,0.14,0.28,0.43,0.05,0.18,0.20
559,payment,0.70,0.84,0.99,0.93,0.78,0.98,0.58,0.76,0.81
577,plan,0.18,0.04,0.03,0.05,0.06,0.07,0.91,0.15,0.21
595,platform,0.26,0.17,0.32,0.14,0.25,0.24,0.28,0.12,0.25
616,place,0.60,0.67,0.62,0.72,0.56,0.81,0.42,0.74,0.57
624,plu,0.06,0.10,0.05,0.07,0.17,0.17,0.07,0.03,0.08
632,plural,0.65,0.49,0.49,0.93,0.58,0.60,0.70,0.32,0.62
691,phrase,0.10,0.12,0.09,0.02,0.19,0.14,0.07,0.03,0.10
693,phone,0.55,0.66,0.86,0.19,0.61,0.71,0.23,0.88,0.42
719,pin,0.13,0.51,0.58,0.09,0.11,0.24,0.05,0.38,0.23
730,physic,0.56,0.75,0.73,0.19,0.61,0.57,0.16,0.35,0.40
757,pictur,0.18,0.07,0.17,0.66,0.06,0.12,0.02,0.09,0.04
774,report,0.36,0.23,0.18,0.78,0.14,0.40,0.58,0.62,0.37
776,repositori,0.06,0.07,0.03,0.05,0.14,0.14,0.07,0.03,0.07
781,repres,0.56,0.67,0.45,0.86,0.67,0.62,0.84,0.50,0.55
787,replac,0.21,0.36,0.27,0.10,0.08,0.17,0.21,0.12,0.17
809,repeat,0.16,0.11,0.06,0.16,0.03,0.07,0.09,0.06,0.07
817,research,0.16,0.07,0.04,0.66,0.06,0.12,0.30,0.06,0.12
828,resid,0.34,0.18,0.36,0.09,0.19,0.33,0.23,0.38,0.22
846,request,0.72,0.89,0.82,0.29,0.75,0.88,0.37,0.62,0.72
851,requir,0.82,0.98,0.87,0.36,0.92,0.93,0.91,0.82,0.83
861,render,0.15,0.08,0.04,0.05,0.11,0.10,0.09,0.03,0.12
863,regist,0.36,0.45,0.47,0.03,0.39,0.57,0.14,0.47,0.28
869,regular,0.12,0.13,0.06,0.09,0.17,0.38,0.14,0.03,0.16
887,reflect,0.22,0.14,0.16,0.78,0.08,0.21,0.16,0.06,0.25
905,regard,0.47,0.36,0.34,0.86,0.42,0.40,0.63,0.79,0.50
906,regardless,0.15,0.08,0.10,0.03,0.14,0.02,0.23,0.21,0.16
915,remain,0.34,0.40,0.18,0.69,0.28,0.29,0.28,0.15,0.29
927,remot,0.51,0.52,0.52,0.12,0.25,0.33,0.28,0.91,0.29
929,remov,0.29,0.27,0.38,0.07,0.36,0.17,0.14,0.38,0.22
937,reject,0.08,0.06,0.06,0.02,0.17,0.24,0.07,0.29,0.11
938,rel,0.32,0.30,0.18,0.12,0.11,0.40,0.44,0.71,0.31
939,relat,0.94,0.95,0.94,0.98,0.83,1.00,1.00,0.94,0.95
941,relationship,0.28,0.27,0.26,0.86,0.17,0.36,0.26,0.26,0.35
947,relev,0.27,0.22,0.25,0.22,0.25,0.33,0.30,0.18,0.25
948,reli,0.23,0.27,0.12,0.69,0.19,0.07,0.21,0.09,0.12
949,reliabl,0.17,0.13,0.06,0.64,0.17,0.07,0.05,0.06,0.07
958,ring,0.03,0.05,0.04,0.03,0.03,0.02,0.02,0.44,0.03
969,risk,0.22,0.58,0.30,0.93,0.36,0.48,0.84,0.38,0.47
982,rfid,0.14,0.17,0.32,0.07,0.14,0.02,0.02,0.59,0.11
1014,role,0.10,0.07,0.10,0.02,0.06,0.12,0.16,0.09,0.08
1021,rom,0.10,0.12,0.25,0.05,0.19,0.17,0.14,0.18,0.11
1057,result,0.68,0.67,0.60,0.95,0.61,0.50,0.86,0.91,0.64
1064,restrict,0.25,0.19,0.18,0.66,0.19,0.26,0.21,0.68,0.25
1065,retail,0.29,0.29,0.56,0.76,0.17,0.36,0.19,0.59,0.29
1079,resourc,0.36,0.23,0.13,0.05,0.44,0.17,0.23,0.06,0.18
1083,respect,0.60,0.58,0.48,0.88,0.69,0.67,0.53,0.68,0.53
1085,respond,0.23,0.22,0.29,0.09,0.14,0.38,0.16,0.50,0.12
1090,rest,0.06,0.08,0.03,0.03,0.03,0.12,0.07,0.06,0.05
1106,review,0.21,0.19,0.12,0.07,0.22,0.26,0.35,0.53,0.21
1114,reward,0.14,0.18,0.18,0.09,0.39,0.10,0.21,0.68,0.23
1130,retriev,0.40,0.37,0.44,0.69,0.42,0.50,0.19,0.38,0.32
1135,return,0.44,0.37,0.35,0.16,0.22,0.33,0.65,0.15,0.43
1144,reveal,0.09,0.11,0.01,0.16,0.08,0.05,0.09,0.03,0.04
1147,protect,0.32,0.66,0.32,0.72,0.31,0.33,0.49,0.26,0.34
1161,queri,0.24,0.24,0.19,0.12,0.31,0.17,0.12,0.03,0.21
1194,quickli,0.16,0.07,0.16,0.09,0.08,0.19,0.16,0.03,0.13
1239,radio,0.33,0.25,0.52,0.09,0.08,0.14,0.14,0.76,0.25
1272,protocol,0.47,0.51,0.52,0.14,0.47,0.38,0.16,0.74,0.22
1284,provid,0.99,0.99,1.00,1.00,0.97,1.00,0.98,1.00,0.99
1285,provis,0.10,0.14,0.16,0.07,0.06,0.29,0.23,0.15,0.17
1288,proxim,0.26,0.13,0.47,0.05,0.06,0.05,0.05,0.79,0.10
1311,put,0.15,0.13,0.03,0.09,0.33,0.12,0.26,0.06,0.11
1323,public,0.46,0.57,0.35,0.12,0.83,0.48,0.33,0.15,0.36
1326,publish,0.24,0.13,0.08,0.07,0.22,0.14,0.21,0.50,0.12
1341,recognit,0.16,0.25,0.14,0.05,0.03,0.10,0.05,0.53,0.11
1348,reconcil,0.03,0.08,0.05,0.02,0.03,0.12,0.02,0.06,0.05
1359,record,0.56,0.59,0.48,0.81,0.72,0.50,0.37,0.47,0.46
1360,recogn,0.32,0.43,0.27,0.57,0.17,0.36,0.30,0.59,0.26
1364,receipt,0.27,0.37,0.66,0.05,0.08,0.38,0.14,0.21,0.38
1365,receiv,0.93,0.98,0.99,0.98,0.94,1.00,0.95,0.97,0.96
1370,recent,0.25,0.29,0.14,0.78,0.11,0.43,0.21,0.12,0.22
1386,random,0.23,0.31,0.23,0.05,0.36,0.17,0.26,0.03,0.15
1389,reduc,0.44,0.53,0.32,0.83,0.33,0.40,0.53,0.32,0.44
1390,reduct,0.08,0.07,0.06,0.07,0.06,0.17,0.12,0.06,0.08
1403,refer,0.90,0.96,0.79,0.97,0.81,0.83,0.88,0.88,0.90
1454,reach,0.22,0.17,0.08,0.05,0.14,0.21,0.40,0.09,0.20
1456,rather,0.41,0.41,0.34,0.76,0.36,0.57,0.49,0.38,0.37
1464,rang,0.46,0.28,0.38,0.76,0.14,0.02,0.40,0.62,0.30
1479,rate,0.35,0.27,0.06,0.81,0.50,0.48,0.84,0.35,0.50
1489,reason,0.26,0.29,0.18,0.10,0.28,0.48,0.40,0.12,0.26
1510,read,0.45,0.57,0.53,0.09,0.42,0.33,0.28,0.79,0.38
1511,readabl,0.34,0.33,0.45,0.43,0.39,0.31,0.37,0.32,0.33
1513,reader,0.28,0.60,0.62,0.05,0.14,0.31,0.07,0.71,0.26
1515,readili,0.22,0.27,0.19,0.69,0.06,0.14,0.19,0.59,0.21
1520,real,0.28,0.36,0.26,0.17,0.28,0.26,0.40,0.21,0.27
1525,realiz,0.14,0.24,0.12,0.07,0.08,0.12,0.44,0.56,0.16
1534,mobil,0.52,0.51,0.96,0.14,0.69,0.64,0.16,0.41,0.37
1540,mode,0.24,0.19,0.35,0.14,0.19,0.14,0.12,0.24,0.19
1542,model,0.31,0.19,0.09,0.93,0.17,0.24,0.44,0.18,0.18
1544,modem,0.16,0.17,0.22,0.07,0.19,0.12,0.14,0.32,0.14
1549,modif,0.26,0.29,0.26,0.16,0.08,0.17,0.16,0.09,0.20
1550,modifi,0.31,0.47,0.13,0.16,0.19,0.21,0.37,0.12,0.26
1553,modul,0.42,0.57,0.40,0.22,0.44,0.38,0.60,0.82,0.38
1590,monitor,0.44,0.19,0.14,0.78,0.50,0.33,0.42,0.32,0.29
1600,monetari,0.14,0.10,0.14,0.05,0.22,0.38,0.23,0.06,0.18
1625,pass,0.28,0.43,0.31,0.07,0.03,0.31,0.14,0.62,0.29
1630,million,0.15,0.19,0.12,0.74,0.08,0.02,0.12,0.18,0.12
1649,minim,0.17,0.28,0.12,0.71,0.03,0.14,0.37,0.12,0.18
1657,might,0.26,0.29,0.19,0.10,0.25,0.12,0.40,0.09,0.21
1690,miss,0.09,0.05,0.01,0.02,0.03,0.12,0.23,0.03,0.05
1697,minimum,0.13,0.11,0.05,0.03,0.08,0.19,0.47,0.29,0.21
1720,month,0.19,0.07,0.04,0.66,0.06,0.07,0.33,0.12,0.21
1721,monthli,0.07,0.10,0.12,0.05,0.06,0.14,0.26,0.09,0.20
1730,multipl,0.71,0.70,0.62,0.36,0.78,0.55,0.65,0.79,0.62
1734,multipli,0.04,0.01,0.03,0.02,0.03,0.02,0.07,0.03,0.05
1754,much,0.31,0.18,0.21,0.07,0.25,0.45,0.44,0.12,0.21
1785,name,0.53,0.63,0.51,0.83,0.58,0.74,0.37,0.15,0.53
1803,must,0.50,0.51,0.38,0.66,0.28,0.52,0.47,0.62,0.47
1807,mutual,0.08,0.12,0.08,0.16,0.19,0.07,0.42,0.53,0.15
1856,moreov,0.23,0.31,0.21,0.21,0.08,0.24,0.37,0.50,0.31
1894,move,0.28,0.24,0.21,0.02,0.31,0.29,0.30,0.74,0.21
1896,movement,0.10,0.05,0.03,0.02,0.11,0.14,0.02,0.15,0.08
1934,market,0.46,0.18,0.29,0.74,0.28,0.29,0.77,0.59,0.43
1937,map,0.22,0.14,0.10,0.05,0.17,0.24,0.09,0.15,0.10
1938,manipul,0.17,0.12,0.09,0.66,0.08,0.05,0.14,0.18,0.11
1939,manner,0.51,0.58,0.51,0.78,0.31,0.62,0.44,0.38,0.56
1944,manual,0.25,0.25,0.44,0.62,0.14,0.36,0.21,0.24,0.26
1945,manufactur,0.30,0.33,0.13,0.64,0.14,0.14,0.09,0.26,0.17
1963,matter,0.18,0.08,0.09,0.05,0.08,0.14,0.19,0.03,0.17
1970,maximum,0.14,0.13,0.12,0.67,0.06,0.17,0.33,0.29,0.17
1986,master,0.08,0.11,0.05,0.02,0.06,0.10,0.09,0.06,0.10
1992,match,0.36,0.45,0.26,0.50,0.50,0.33,0.33,0.47,0.24
1998,materi,0.25,0.14,0.14,0.07,0.03,0.17,0.21,0.12,0.17
2014,made,0.70,0.75,0.86,0.91,0.56,0.95,0.77,0.79,0.77
2024,magnet,0.25,0.70,0.55,0.10,0.31,0.17,0.28,0.44,0.35
2032,mani,0.77,0.73,0.56,0.91,0.50,0.81,0.84,0.91,0.74
2048,machin,0.38,0.55,0.40,0.79,0.17,0.43,0.26,0.18,0.36
2061,manag,0.70,0.59,0.61,0.91,0.72,0.74,0.86,0.88,0.66
2088,main,0.19,0.14,0.10,0.05,0.11,0.14,0.14,0.06,0.08
2089,mainfram,0.05,0.23,0.10,0.05,0.06,0.10,0.09,0.41,0.10
2092,maintain,0.59,0.63,0.48,0.78,0.67,0.79,0.47,0.59,0.57
2093,mainten,0.13,0.08,0.03,0.03,0.03,0.12,0.14,0.09,0.10
2095,make,0.79,0.82,0.84,0.93,0.72,0.90,0.81,0.26,0.79
2111,method,0.97,0.99,1.00,1.00,1.00,1.00,0.98,1.00,1.00
2113,methodolog,0.10,0.07,0.05,0.07,0.03,0.02,0.12,0.06,0.10
2128,messag,0.56,0.70,0.69,0.22,0.53,0.83,0.14,0.26,0.40
2159,microphon,0.08,0.12,0.08,0.03,0.11,0.07,0.07,0.21,0.07
2160,microprocessor,0.14,0.27,0.19,0.07,0.31,0.02,0.07,0.71,0.11
2165,microsoft,0.15,0.06,0.06,0.05,0.11,0.10,0.16,0.21,0.09
2197,mere,0.16,0.23,0.09,0.05,0.25,0.21,0.19,0.15,0.16
2204,measur,0.28,0.28,0.16,0.72,0.22,0.21,0.26,0.24,0.19
2206,mechan,0.43,0.47,0.43,0.10,0.47,0.57,0.33,0.21,0.35
2210,media,0.44,0.37,0.45,0.16,0.28,0.26,0.21,0.50,0.23
2220,medium,0.49,0.60,0.57,0.60,0.72,0.48,0.67,0.38,0.53
2235,mean,0.66,0.70,0.52,0.79,0.39,0.71,0.56,0.91,0.62
2248,mention,0.13,0.11,0.13,0.07,0.08,0.17,0.16,0.06,0.12
2250,memori,0.62,0.70,0.75,0.88,0.64,0.64,0.63,0.91,0.53
2266,merchant,0.27,0.78,0.83,0.24,0.53,0.71,0.12,0.59,0.47
2273,meet,0.22,0.20,0.13,0.67,0.17,0.14,0.56,0.56,0.24
2289,member,0.26,0.18,0.17,0.14,0.25,0.48,0.21,0.09,0.24
2290,membership,0.09,0.08,0.08,0.03,0.03,0.05,0.05,0.09,0.04
2296,origin,0.33,0.42,0.18,0.09,0.25,0.33,0.23,0.12,0.28
2316,orient,0.09,0.05,0.06,0.03,0.06,0.02,0.02,0.21,0.03
2328,order,0.77,0.88,0.81,0.86,0.89,0.74,0.74,0.65,0.71
2332,ordinari,0.21,0.31,0.21,0.74,0.11,0.10,0.40,0.09,0.21
2339,organ,0.42,0.35,0.18,0.66,0.28,0.36,0.49,0.29,0.38
2353,outlin,0.04,0.07,0.03,0.62,0.06,0.17,0.07,0.03,0.04
2361,output,0.34,0.37,0.25,0.72,0.36,0.14,0.44,0.21,0.23
2398,omit,0.04,0.06,0.06,0.02,0.08,0.07,0.09,0.03,0.06
2406,one,0.99,1.00,1.00,1.00,0.97,1.00,0.98,1.00,0.99
2419,often,0.48,0.45,0.34,0.55,0.44,0.40,0.42,0.29,0.50
2437,onlin,0.38,0.49,0.58,0.83,0.58,0.69,0.30,0.50,0.38
2440,oper,0.90,0.83,0.88,0.93,0.81,0.81,0.79,1.00,0.81
2449,opportun,0.28,0.22,0.16,0.78,0.08,0.33,0.33,0.06,0.21
2452,opposit,0.05,0.04,0.01,0.03,0.06,0.02,0.07,0.03,0.03
2453,opt,0.04,0.02,0.05,0.02,0.14,0.10,0.09,0.03,0.03
2454,optic,0.28,0.36,0.36,0.07,0.19,0.19,0.30,0.53,0.26
2455,optim,0.19,0.01,0.08,0.10,0.11,0.17,0.44,0.15,0.16
2457,option,0.53,0.49,0.66,0.12,0.39,0.74,0.63,0.59,0.69
2468,onto,0.16,0.25,0.34,0.07,0.28,0.17,0.07,0.18,0.23
2481,open,0.34,0.40,0.38,0.71,0.33,0.52,0.16,0.06,0.32
2484,outsid,0.25,0.12,0.16,0.12,0.22,0.21,0.14,0.15,0.19
2516,paid,0.27,0.11,0.14,0.03,0.14,0.21,0.26,0.06,0.36
2520,pair,0.13,0.19,0.16,0.10,0.33,0.02,0.02,0.15,0.08
2535,parti,0.48,0.71,0.61,0.66,0.72,0.81,0.51,0.35,0.60
2536,partial,0.16,0.24,0.10,0.07,0.19,0.26,0.21,0.06,0.21
2538,particip,0.26,0.28,0.29,0.69,0.61,0.43,0.44,0.06,0.41
2541,particular,0.79,0.87,0.82,0.98,0.69,0.60,0.86,0.38,0.80
2543,particularli,0.51,0.48,0.57,0.22,0.25,0.55,0.70,0.79,0.58
2545,part,0.71,0.71,0.48,0.47,0.67,0.69,0.63,0.85,0.71
2559,parallel,0.12,0.16,0.08,0.02,0.08,0.02,0.05,0.53,0.05
2562,paramet,0.23,0.34,0.22,0.74,0.08,0.12,0.37,0.24,0.21
2646,packag,0.24,0.07,0.10,0.05,0.06,0.12,0.19,0.06,0.13
2652,owner,0.36,0.34,0.23,0.02,0.19,0.19,0.16,0.24,0.25
2653,owe,0.04,0.02,0.01,0.02,0.06,0.14,0.14,0.03,0.11
2668,overview,0.12,0.12,0.16,0.07,0.17,0.38,0.21,0.09,0.13
2704,new,0.60,0.60,0.39,0.43,0.78,0.64,0.49,0.29,0.53
2714,next,0.33,0.30,0.08,0.76,0.08,0.29,0.23,0.06,0.22
2782,near,0.24,0.25,0.66,0.05,0.17,0.17,0.16,0.24,0.21
2784,navig,0.15,0.07,0.08,0.02,0.03,0.10,0.07,0.03,0.04
2791,necessari,0.33,0.45,0.34,0.24,0.25,0.21,0.37,0.12,0.35
2792,necessarili,0.27,0.24,0.16,0.09,0.22,0.38,0.26,0.09,0.23
2815,natur,0.31,0.24,0.12,0.09,0.14,0.12,0.49,0.09,0.25
2832,need,0.83,0.87,0.82,0.97,0.72,0.88,0.91,0.88,0.75
2838,network,0.83,0.88,0.94,0.97,1.00,0.93,0.51,0.97,0.78
2852,neg,0.06,0.12,0.06,0.12,0.06,0.10,0.12,0.03,0.11
2857,negoti,0.08,0.05,0.05,0.02,0.06,0.12,0.16,0.03,0.10
2861,neither,0.07,0.14,0.12,0.02,0.08,0.07,0.07,0.09,0.08
2886,object,0.50,0.35,0.35,0.31,0.17,0.26,0.67,0.74,0.38
2888,oblig,0.05,0.04,0.03,0.09,0.17,0.21,0.26,0.06,0.23
2895,numer,0.38,0.45,0.48,0.09,0.25,0.36,0.60,0.24,0.34
2933,offer,0.57,0.42,0.43,0.81,0.58,0.64,0.70,0.18,0.61
2936,offic,0.28,0.11,0.12,0.05,0.06,0.14,0.21,0.09,0.15
2946,obtain,0.62,0.63,0.62,0.86,0.56,0.52,0.63,0.44,0.55
2955,occur,0.47,0.59,0.49,0.83,0.28,0.48,0.28,0.35,0.49
2956,occurr,0.11,0.08,0.05,0.09,0.08,0.02,0.12,0.18,0.11
2963,number,0.88,1.00,0.95,1.00,0.69,0.98,0.91,0.91,0.90
2984,normal,0.22,0.27,0.27,0.14,0.17,0.12,0.28,0.03,0.21
